Tiempo (s),Roll Accel (°),Roll Kalman (°),p (°/s),,,,
42.95003152,-16.02104098,-15.84032179,-120.2900763,,,,
43.05597878,-20.34262353,-21.44914808,-56.89312977,,,,
43.16192389,-30.56212917,-27.57188649,-53.51145038,,,,
43.26781392,-40.49107579,-31.45189234,-19.26717557,,,,
43.37376738,-47.62315319,-33.09629636,14.98473282,,,,
43.47973609,-35.22848667,-32.04666012,19.92366412,,,,
43.58562112,-34.89549099,-33.17407172,-2.992366412,,,,
43.69152093,-36.84248631,-33.24849132,11.16030534,,,,
43.79743052,-43.27758524,-37.09454876,-18.38931298,,,,
43.90334225,-23.87162204,-40.65053442,-61.78625954,,,,
44.00923443,-77.76210704,-33.82462434,158.1450382,,,,
44.11513829,-21.07192864,-30.90950253,19.11450382,,,,
44.22105765,-46.3571883,-34.5979719,-0.65648855,,,,
44.32781672,-31.45273571,-34.62515421,5.473282443,,,,
44.43484926,-26.61680887,-33.64736276,6.381679389,,,,
44.54188395,-27.77401397,-27.88312786,63.84732824,,,,
44.64886427,-12.96086605,-22.55860849,40.2519084,,,,
44.75602794,-15.95497681,-21.71786275,4.27480916,,,,
44.86326241,-8.696266099,-18.4758291,17.26717557,,,,
44.97046566,-11.45287642,-17.38477162,3.106870229,,,,
45.07752371,-12.53751131,-16.15518426,7.946564885,,,,
45.18515968,-9.131400254,-14.56028755,6.893129771,,,,
45.29338694,-8.824234479,-13.12975878,6.564885496,,,,
45.40047979,-0.858867103,-12.5318337,-17.07633588,,,,
45.50731158,-2.380297862,-8.75887788,20.9389313,,,,
45.61440825,8.917757745,-1.742174806,41.24427481,,,,
45.72121906,3.710117967,1.060870689,16.12977099,,,,
45.82798576,15.42534167,7.516597345,39.03053435,,,,
45.93480468,25.22608076,15.84748306,51.99236641,,,,
46.04162145,19.68444255,15.53119782,-20.11450382,,,,
46.14837217,18.66880785,18.10208238,13.45801527,,,,
46.25536418,22.819501,19.06278154,-8.290076336,,,,
46.36246109,17.66465507,18.07986735,-18.65648855,,,,
46.46945333,26.64655294,21.20142496,7.740458015,,,,
46.57647443,8.820379552,16.11263562,-43.93129771,,,,
46.68351102,13.24723236,15.61285403,-9.679389313,,,,
46.79061818,3.942282408,13.46824431,-9.870229008,,,,
46.89762259,2.494738947,12.26611185,1.358778626,,,,
47.00463843,12.45807425,16.21865434,39.17557252,,,,
47.11165094,12.09930951,17.44288572,17.67175573,,,,
47.21873212,9.739689263,17.32214514,10.78625954,,,,
47.32579756,8.969396045,15.90946556,-1.076335878,,,,
47.43290186,10.35414319,17.10258747,24.26717557,,,,
47.53991365,16.00550214,19.89620919,34.70229008,,,,
47.64671969,22.86672324,22.58597966,25.97709924,,,,
47.75331092,21.22560737,22.94183679,8.221374046,,,,
47.86036205,23.11440773,20.22095844,-29.77099237,,,,
47.96739769,25.95017977,16.36733775,-54.54961832,,,,
48.07446289,15.91869607,12.61506458,-42.64885496,,,,
48.18148518,14.28405144,9.297626808,-42.69465649,,,,
48.28854179,-4.039167926,1.407420011,-65.02290076,,,,
48.39554405,7.787132684,1.59639859,-12.32824427,,,,
48.50262356,-7.16437019,0.285547249,0.419847328,,,,
48.60959363,-0.787822028,-0.754851907,-10.77862595,,,,
48.71663284,-4.989903813,0.49650956,21.84732824,,,,
48.82344055,2.273008518,3.668888427,32.48854962,,,,
48.93055415,1.623396926,5.207617207,22.04580153,,,,
49.03764153,2.372565948,4.875530214,3.022900763,,,,
49.14467168,7.707850418,6.681658095,16.24427481,,,,
49.25187707,1.975420182,5.768174711,0.541984733,,,,
49.35956359,-0.24344039,4.170881667,-3.801526718,,,,
49.46685863,10.51166771,7.159914261,23.80916031,,,,
49.57395864,7.891200391,8.264519976,13.34351145,,,,
49.68139386,5.731267199,10.27427705,30.38931298,,,,
49.78869295,17.52628228,13.46301208,24.64122137,,,,
49.89610147,11.70300233,11.66824865,-14.34351145,,,,
50.00331497,14.8144501,10.45258718,-17.82442748,,,,
50.11083174,8.513290281,9.057292657,-10.35114504,,,,
50.2183609,8.787267947,5.480954956,-38.36641221,,,,
50.32586694,3.916446071,0.895102125,-47.84732824,,,,
50.43317223,-1.707244067,-0.898812511,-14.67175573,,,,
50.540447,1.636980019,0.299706848,8.954198473,,,,
