Tiempo (s),Pitch Accel (°),Pitch Kalman (°),q (°/s)
20.294710874557495,18.39506336389464,7.642671579363586,-60.57251908396947
20.40177631378174,17.193416999711616,7.009930414228476,-21.763358778625953
20.508885622024536,15.453151556055307,5.962559750548292,-26.198473282442748
20.6158664226532,12.428642382801815,3.1234716907741715,-44.48854961832061
20.722941398620605,4.715335306597308,-1.3700195738007475,-55.25190839694657
20.829771518707275,0.5606828836395816,-2.934983346502376,-23.763358778625953
20.936596393585205,8.722169637844962,-4.888289901331762,-48.94656488549618
21.043439626693726,2.839129237609911,-2.04105052086984,11.198473282442748
21.150484085083008,1.160435719589026,-2.7882314436256848,-21.519083969465647
21.257625102996826,-3.0796090782308934,-3.27256685858474,-12.122137404580153
21.364646911621094,-9.108955655513393,-3.613388556462686,0.8473282442748091
21.4723162651062,-8.489937421694368,-3.9798311476263093,-0.2900763358778626
21.58067774772644,-0.13581717259554804,-3.306574892824463,-5.450381679389313
21.687986135482788,3.591059828241117,-2.000025307688512,-5.190839694656488
21.795330047607422,4.450341663358005,-1.0629904193067312,-9.595419847328245
21.90257978439331,6.079273109521082,3.0141686674762784,23.53435114503817
22.009403944015503,3.229934014675493,3.2885026400492707,-6.0458015267175576
22.116843223571777,5.770801392323044,4.211105619485113,-3.3053435114503817
22.223855018615723,4.037143985311813,5.0341075211745885,0.6870229007633588
22.331072330474854,3.8924737626414485,5.8914527876726375,3.2824427480916034
22.43805456161499,3.106690159696965,6.163157165383847,0.3893129770992366
22.54543161392212,-2.419065667127043,2.8333488177265247,-28.114503816793892
22.65280294418335,-7.100598480565179,5.943606205041582,48.9236641221374
22.759931325912476,-8.886767653986418,1.2403964098581264,-27.16793893129771
22.86734127998352,-4.884333855781584,-1.2882759092968905,-18.30534351145038
22.974811553955078,9.860936759418514,-0.6514580812460408,-16.9618320610687
23.08180284500122,22.982603502937827,4.942645332553371,11.618320610687023
23.18862271308899,29.697243385966722,4.76682790056947,-60.099236641221374
23.295647144317627,13.7200916325306,0.8422280076332549,-75.38167938931298
23.40295171737671,10.194110890462154,4.443731015449251,7.106870229007634
23.509568691253662,-4.862840031592808,1.793461067498026,-26.954198473282442
23.61659264564514,-7.680742086942634,2.060701717882606,8.022900763358779
23.723244190216064,-9.390566208186442,0.7908065328623964,-3.5572519083969465
23.830077409744263,-9.472606457103899,-2.8265084462646377,-30.77862595419847
23.937106370925903,-2.707945789448762,-2.1768860976208133,-2.030534351145038
24.04393172264099,6.419550177940162,-1.1287678896426039,-14.786259541984732
24.150742292404175,8.850735618297513,0.4734686895158871,-12.83206106870229
24.257857084274292,4.727484805107065,1.6395542763273523,-7.732824427480916
24.364540100097656,4.459896525526979,2.588075094670181,-7.908396946564886
24.471554040908813,5.284685271352374,3.93433976425927,-3.4580152671755724
24.578637838363647,3.739894325041008,4.713364584975771,-4.297709923664122
24.68539524078369,1.4565669597257807,5.311898250594469,0.12213740458015265
24.792530298233032,2.2459713628780094,5.591790900641942,-3.099236641221374
24.899338006973267,3.461441468164397,5.104260932062758,-13.106870229007633
25.006409168243408,-0.8679031259644546,4.271737684782845,-8.816793893129772
25.11320686340332,4.039813471456899,6.3650521068059245,13.763358778625955
25.22024893760681,-0.048847277984148785,6.602918313105053,5.816793893129771
25.32729411125183,-0.8481519488548399,7.105189441992008,12.274809160305344
25.434431076049805,-2.214917983619103,6.944710817980649,10.16030534351145
25.54149842262268,-0.9907835031584193,8.399780977240333,27.557251908396946
25.648319959640503,3.3929328366510676,10.681603321502635,32.88549618320611
25.755355834960938,3.1523889074837737,10.758250033106894,14.435114503816793
25.862244606018066,4.560058831395572,9.85313066515456,2.015267175572519
25.969038248062134,10.506636656412915,8.688851440435272,-13.961832061068701
26.07611393928528,8.955058161822512,8.017671572368618,-7.908396946564886
26.18317151069641,6.454436723221415,7.809762470262459,0.9541984732824429
26.290281534194946,7.3073430735309035,7.472775903555344,-2.4198473282442747
26.39728879928589,6.332619426455782,8.448676265314392,13.877862595419847
26.504297494888306,3.776770195051541,11.088233976162574,40.534351145038165
26.611304759979248,8.613633138937129,11.831510820761133,15.877862595419847
26.71839427947998,6.852614344104634,13.295336174614349,29.885496183206108
26.825175046920776,2.461845049643741,12.30827952595948,15.267175572519086
26.932154655456543,-0.7505867428851437,9.61388197259218,2.3511450381679393
